Title,Speaker,Conference
What Have You Done with My Name?,Elder Mervyn B. Arnold,October 2010
O That Cunning Plan of the Evil One,y Elder M. Russell Ballard,October 2010
Till We Meet Again,President Thomas S. Monson,October 2010
“Daughters in My Kingdom”: The History and Work of Relief Society,Julie B. Beck,October 2010
Steadfast and Immovable,Silvia H. Allred,October 2010
"And of Some Have Compassion, Making a Difference",Barbara Thompson,October 2010
Charity Never Faileth,y President Thomas S. Monson,October 2010
It’s Conference Once Again,President Thomas S. Monson,April 2011
The Sabbath and the Sacrament,Elder L. Tom Perry,April 2011
Become as a Little Child,Jean A. Stevens,April 2011
Followers of Christ,Elder Walter F. González,April 2011
The Atonement Covers All Pain,Elder Kent F. Richards,April 2011
LDS Women Are Incredible!,Elder Quentin L. Cook,April 2011
Opportunities to Do Good,President Henry B. Eyring,April 2011
The Sustaining of Church Officers,sented by President Dieter F. Uchtdorf,April 2011
"Church Auditing Department Report, 2010",sented by Robert W. Cantwell,April 2011
"Statistical Report, 2010",sented by Brook P. Hales,April 2011
Guided by the Holy Spirit,President Boyd K. Packer,April 2011
Face the Future with Faith,Elder Russell M. Nelson,April 2011
Establishing a Christ-Centered Home,Elder Richard J. Maynes,April 2011
Testimony,Elder Cecil O. Samuelson Jr.,April 2011
Desire,Elder Dallin H. Oaks,April 2011
Finding Joy through Loving Service,y Elder M. Russell Ballard,April 2011
Preparing the World for the Second Coming,Elder Neil L. Andersen,April 2011
Hope,Elder Steven E. Snow,April 2011
Sacred Keys of the Aaronic Priesthood,Larry M. Gibson,April 2011
"Your Potential, Your Privilege",y President Dieter F. Uchtdorf,April 2011
Learning in the Priesthood,President Henry B. Eyring,April 2011
Priesthood Power,y President Thomas S. Monson,April 2011
Waiting on the Road to Damascus,y President Dieter F. Uchtdorf,April 2011
More Than Conquerors through Him That Loved Us,Elder Paul V. Johnson,April 2011
The Sanctifying Work of Welfare,Bishop H. David Burton,April 2011
The Essence of Discipleship,Silvia H. Allred,April 2011
The Spirit of Revelation,Elder David A. Bednar,April 2011
The Holy Temple—a Beacon to the World,y President Thomas S. Monson,April 2011
The Eternal Blessings of Marriage,y Elder Richard G. Scott,April 2011
"“As Many as I Love, I Rebuke and Chasten”",y Elder D. Todd Christofferson,April 2011
The Lord’s Richest Blessings,Elder Carl B. Pratt,April 2011
What Manner of Men and Women Ought Ye to Be?,Elder Lynn G. Robbins,April 2011
Called to Be Saints,Elder Benjamín De Hoyos,April 2011
The Miracle of the Atonement,Elder C. Scott Grow,April 2011
An Ensign to the Nations,Elder Jeffrey R. Holland,April 2011
At Parting,President Thomas S. Monson,April 2011
I Believe in Being Honest and True,Ann M. Dibb,April 2011
“Remember This: Kindness Begins with Me”,Mary N. Cook,April 2011
Guardians of Virtue,Elaine S. Dalton,April 2011
A Living Testimony,President Henry B. Eyring,April 2011
The Power of Scripture,y Elder Richard G. Scott,October 2011
Personal Revelation and Testimony,Barbara Thompson,October 2011
The Time Shall Come,Elder L. Whitney Clayton,October 2011
As We Meet Again,President Thomas S. Monson,October 2011
"Doing the Right Thing at the Right Time, without Delay",Elder José L. Alonso,October 2011
Counsel to Youth,President Boyd K. Packer,October 2011
You Matter to Him,President Dieter F. Uchtdorf,October 2011
The Sustaining of Church Officers,sented by President Henry B. Eyring,October 2011
The Hearts of the Children Shall Turn,Elder David A. Bednar,October 2011
Children,y Elder Neil L. Andersen,October 2011
A Time to Prepare,Elder Ian S. Ardern,October 2011
It Is Better to Look Up,Elder Carl B. Cook,October 2011
Redemption,Elder LeGrand R. Curtis Jr.,October 2011
The Divine Gift of Repentance,Elder D. Todd Christofferson,October 2011
Perfect Love Casteth Out Fear,Elder L. Tom Perry,October 2011
We Are All Enlisted,Elder Jeffrey R. Holland,October 2011
The Power of the Aaronic Priesthood,Bishop Keith B. McMullin,October 2011
The Opportunity of a Lifetime,Elder W. Christopher Waddell,October 2011
Providing in the Lord’s Way,President Dieter F. Uchtdorf,October 2011
Preparation in the Priesthood: “I Need Your Help”,President Henry B. Eyring,October 2011
Dare to Stand Alone,President Thomas S. Monson,October 2011
A Witness,President Henry B. Eyring,October 2011
Waiting upon the Lord: Thy Will Be Done,Elder Robert D. Hales,October 2011
The Book of Mormon—a Book from God,Elder Tad R. Callister,October 2011
Love Her Mother,Elaine S. Dalton,October 2011
The Importance of a Name,Elder M. Russell Ballard,October 2011
Stand in Holy Places,President Thomas S. Monson,October 2011
Covenants,Elder Russell M. Nelson,October 2011
Teachings of Jesus,Elder Dallin H. Oaks,October 2011
Teaching after the Manner of the Spirit,Matthew O. Richardson,October 2011
Missionaries Are a Treasure of the Church,Elder Kazuhiko Yamashita,October 2011
Choose Eternal Life,Elder Randall K. Bennett,October 2011
The Privilege of Prayer,Elder J. Devn Cornish,October 2011
The Songs They Could Not Sing,Elder Quentin L. Cook,October 2011
Until We Meet Again,President Thomas S. Monson,October 2011
What I Hope My Granddaughters (and Grandsons) Will Understand about Relief Society,Julie B. Beck,October 2011
Charity Never Faileth,Silvia H. Allred,October 2011
Cleave unto the Covenants,Barbara Thompson,October 2011
Forget Me Not,President Dieter F. Uchtdorf,October 2011
As We Gather Once Again,President Thomas S. Monson,April 2012
And a Little Child Shall Lead Them,President Boyd K. Packer,April 2012
Teaching Our Children to Understand,Cheryl A. Esplin,April 2012
Converted to His Gospel through His Church,Elder Donald L. Hallstrom,April 2012
He Truly Loves Us,Elder Paul E. Koelliker,April 2012
Sacrifice,Elder Dallin H. Oaks,April 2012
Mountains to Climb,y President Henry B. Eyring,April 2012
The Sustaining of Church Officers,sented by President Dieter F. Uchtdorf,April 2012
"Church Auditing Department Report, 2011",sented by Robert W. Cantwell,April 2012
"Statistical Report, 2011",sented by Brook P. Hales,April 2012
The Laborers in the Vineyard,Elder Jeffrey R. Holland,April 2012
"Coming to Ourselves: The Sacrament, the Temple, and Sacrifice in Service",Elder Robert D. Hales,April 2012
Abide in the Lord’s Territory!,Elder Ulisses Soares,April 2012
"Faith, Fortitude, Fulfillment: A Message to Single Parents",Elder David S. Baxter,April 2012
In Tune with the Music of Faith,Elder Quentin L. Cook,April 2012
How to Obtain Revelation and Inspiration for Your Personal Life,Elder Richard G. Scott,April 2012
The Powers of Heaven,Elder David A. Bednar,April 2012
The Rescue for Real Growth,Bishop Richard C. Edgley,April 2012
Aaronic Priesthood: Arise and Use the Power of God,Adrián Ochoa,April 2012
The Why of Priesthood Service,President Dieter F. Uchtdorf,April 2012
Families under Covenant,President Henry B. Eyring,April 2012
Willing and Worthy to Serve,President Thomas S. Monson,April 2012
The Merciful Obtain Mercy,y President Dieter F. Uchtdorf,April 2012
Thanks Be to God,y Elder Russell M. Nelson,April 2012
Special Lessons,Elder Ronald A. Rasband,April 2012
"The Vision of Prophets regarding Relief Society: Faith, Family, Relief",Julie B. Beck,April 2012
The Doctrine of Christ,Elder D. Todd Christofferson,April 2012
The Race of Life,President Thomas S. Monson,April 2012
The Power of Deliverance,Elder L. Tom Perry,April 2012
That the Lost May Be Found,Elder M. Russell Ballard,April 2012
Having the Vision to Do,Elder O. Vincent Haleck,April 2012
Only upon the Principles of Righteousness,Elder Larry Y. Wilson,April 2012
Was It Worth It?,Elder David F. Evans,April 2012
To Hold Sacred,Elder Paul B. Pieper,April 2012
What Thinks Christ of Me?,Elder Neil L. Andersen,April 2012
As We Close This Conference,President Thomas S. Monson,April 2012
Arise and Shine Forth,Ann M. Dibb,April 2012
Seek Learning: You Have a Work to Do,Mary N. Cook,April 2012
Now Is the Time to Arise and Shine!,Elaine S. Dalton,April 2012
"Believe, Obey, and Endure",President Thomas S. Monson,April 2012
Welcome to Conference,President Thomas S. Monson,October 2012
Can Ye Feel So Now?,Elder Quentin L. Cook,October 2012
I Know It. I Live It. I Love It.,Ann M. Dibb,October 2012
An Unspeakable Gift from God,Elder Craig C. Christensen,October 2012
"“Because I Live, Ye Shall Live Also”",Elder Shayne M. Bowen,October 2012
Ask the Missionaries! They Can Help You!,Elder Russell M. Nelson,October 2012
Of Regrets and Resolutions,President Dieter F. Uchtdorf,October 2012
The Sustaining of Church Officers,sented by President Henry B. Eyring,October 2012
Becoming Goodly Parents,Elder L. Tom Perry,October 2012
Be Anxiously Engaged,Elder M. Russell Ballard,October 2012
"“Come unto Me, O Ye House of Israel”",Elder Larry Echo Hawk,October 2012
What Shall a Man Give in Exchange for His Soul?,Elder Robert C. Gay,October 2012
Temple Standard,Elder Scott D. Whiting,October 2012
Trial of Your Faith,Elder Neil L. Andersen,October 2012
Protect the Children,Elder Dallin H. Oaks,October 2012
"Brethren, We Have Work to Do",Elder D. Todd Christofferson,October 2012
"Be Valiant in Courage, Strength, and Activity",Bishop Gary E. Stevenson,October 2012
Beware Concerning Yourselves,Elder Anthony D. Perkins,October 2012
The Joy of the Priesthood,President Dieter F. Uchtdorf,October 2012
Help Them Aim High,President Henry B. Eyring,October 2012
See Others as They May Become,President Thomas S. Monson,October 2012
Where Is the Pavilion?,President Henry B. Eyring,October 2012
The Atonement,President Boyd K. Packer,October 2012
"First Observe, Then Serve",Linda K. Burton,October 2012
Learning with Our Hearts,Elder Walter F. González,October 2012
The First Great Commandment,Elder Jeffrey R. Holland,October 2012
Consider the Blessings,President Thomas S. Monson,October 2012
Being a More Christian Christian,Elder Robert D. Hales,October 2012
The Joy of Redeeming the Dead,Elder Richard G. Scott,October 2012
One Step Closer to the Savior,Russell T. Osguthorpe,October 2012
By Faith All Things Are Fulfilled,Elder Marcus B. Nash,October 2012
Becoming a True Disciple,Elder Daniel L. Johnson,October 2012
Blessings of the Sacrament,Elder Don R. Clarke,October 2012
Converted unto the Lord,Elder David A. Bednar,October 2012
God Be with You Till We Meet Again,President Thomas S. Monson,October 2012
Is Faith in the Atonement of Jesus Christ Written in Our Hearts?,Linda K. Burton,October 2012
Wide Awake to Our Duties,Carole M. Stephens,October 2012
The Lord Has Not Forgotten You,Linda S. Reeves,October 2012
The Caregiver,President Henry B. Eyring,October 2012
Welcome to Conference,President Thomas S. Monson,April 2013
These Things I Know,y President Boyd K. Packer,April 2013
A Sure Foundation,Bishop Dean M. Davies,April 2013
We Are Daughters of Our Heavenly Father,Elaine S. Dalton,April 2013
The Savior Wants to Forgive,y Elder Craig A. Cardon,April 2013
“This Is My Work and Glory”,Elder M. Russell Ballard,April 2013
“Come unto Me”,President Henry B. Eyring,April 2013
The Sustaining of Church Officers,sented by President Dieter F. Uchtdorf,April 2013
"Church Auditing Department Report, 2012",sented by Robert W. Cantwell,April 2013
"Statistical Report, 2012",sented by Brook P. Hales,April 2013
For Peace at Home,Elder Richard G. Scott,April 2013
Personal Peace: The Reward of Righteousness,Elder Quentin L. Cook,April 2013
The Lord’s Way,Elder Stanley G. Ellis,April 2013
The Gospel to All the World,Elder John B. Dickson,April 2013
We Believe in Being Chaste,Elder David A. Bednar,April 2013
Catch the Wave,Elder Russell M. Nelson,April 2013
Stand Strong in Holy Places,Elder Robert D. Hales,April 2013
The Power of the Priesthood in the Boy,Elder Tad R. Callister,April 2013
Your Sacred Duty to Minister,David L. Beck,April 2013
Four Titles,President Dieter F. Uchtdorf,April 2013
We Are One,President Henry B. Eyring,April 2013
"Come, All Ye Sons of God",President Thomas S. Monson,April 2013
The Hope of God’s Light,President Dieter F. Uchtdorf,April 2013
It’s a Miracle,Elder Neil L. Andersen,April 2013
The Words We Speak,Rosemary M. Wixom,April 2013
Marriage: Watch and Learn,Elder L. Whitney Clayton,April 2013
Obedience to Law Is Liberty,y Elder L. Tom Perry,April 2013
Obedience Brings Blessings,President Thomas S. Monson,April 2013
"“Lord, I Believe”",Elder Jeffrey R. Holland,April 2013
Followers of Christ,Elder Dallin H. Oaks,April 2013
The Father and the Son,Elder Christoffel Golden Jr.,April 2013
The Home: The School of Life,Elder Enrique R. Falabella,April 2013
Being Accepted of the Lord,Elder Erich W. Kopischke,April 2013
Beautiful Mornings,Elder Bruce D. Porter,April 2013
Redemption,Elder D. Todd Christofferson,April 2013
Until We Meet Again,President Thomas S. Monson,April 2013
Your Holy Places,Ann M. Dibb,April 2013
"When You Save a Girl, You Save Generations",Mary N. Cook,April 2013
Be Not Moved!,Elaine S. Dalton,April 2013
Your Wonderful Journey Home,y President Dieter F. Uchtdorf,April 2013
Welcome to Conference,President Thomas S. Monson,October 2013
General Conference: Strengthening Faith and Testimony,Elder Robert D. Hales,October 2013
Be Meek and Lowly of Heart,Elder Ulisses Soares,October 2013
Do We Know What We Have?,Carole M. Stephens,October 2013
Look Ahead and Believe,Elder Edward Dube,October 2013
The Windows of Heaven,Elder David A. Bednar,October 2013
"Come, Join with Us",President Dieter F. Uchtdorf,October 2013
The Sustaining of Church Officers,sented by President Henry B. Eyring,October 2013
The Key to Spiritual Protection,President Boyd K. Packer,October 2013
The Moral Force of Women,Elder D. Todd Christofferson,October 2013
Hastening the Lord’s Game Plan!,Elder S. Gifford Nielsen,October 2013
Small and Simple Things,Elder Arnulfo Valenzuela,October 2013
Wilt Thou Be Made Whole?,Elder Timothy J. Dyches,October 2013
Like a Broken Vessel,y Elder Jeffrey R. Holland,October 2013
Put Your Trust in the Lord,Elder M. Russell Ballard,October 2013
The Doctrines and Principles Contained in the Articles of Faith,Elder L. Tom Perry,October 2013
Ye Are No More Strangers,Bishop Gérald Caussé,October 2013
Called of Him to Declare His Word,Elder Randy D. Funk,October 2013
You Can Do It Now!,President Dieter F. Uchtdorf,October 2013
Bind Up Their Wounds,President Henry B. Eyring,October 2013
True Shepherds,President Thomas S. Monson,October 2013
To My Grandchildren,President Henry B. Eyring,October 2013
No Other Gods,Elder Dallin H. Oaks,October 2013
Be Ye Converted,Bonnie L. Oscarson,October 2013
The Strength to Endure,Elder Richard J. Maynes,October 2013
Personal Strength through the Atonement of Jesus Christ,Elder Richard G. Scott,October 2013
"“I Will Not Fail Thee, nor Forsake Thee”",President Thomas S. Monson,October 2013
Lamentations of Jeremiah: Beware of Bondage,Elder Quentin L. Cook,October 2013
Power in the Priesthood,Elder Neil L. Andersen,October 2013
Teaching with the Power and Authority of God,David M. McConkie,October 2013
Continually Holding Fast,Elder Kevin S. Hamilton,October 2013
Look Up,Elder Adrián Ochoa,October 2013
Drawing Closer to God,Elder Terence M. Vinson,October 2013
Decisions for Eternity,Elder Russell M. Nelson,October 2013
Till We Meet Again,President Thomas S. Monson,October 2013
"The Power, Joy, and Love of Covenant Keeping",Linda K. Burton,October 2013
We Have Great Reason to Rejoice,Carole M. Stephens,October 2013
Claim the Blessings of Your Covenants,Linda S. Reeves,October 2013
We Never Walk Alone,President Thomas S. Monson,October 2013
Welcome to Conference,President Thomas S. Monson,April 2014
The Cost—and Blessings—of Discipleship,Elder Jeffrey R. Holland,April 2014
The Joyful Burden of Discipleship,Elder Ronald A. Rasband,April 2014
Christ the Redeemer,Elder Carlos H. Amado,April 2014
Protection from Pornography—a Christ-Focused Home,Linda S. Reeves,April 2014
Spiritual Whirlwinds,y Elder Neil L. Andersen,April 2014
A Priceless Heritage of Hope,President Henry B. Eyring,April 2014
The Sustaining of Church Officers,sented by President Dieter F. Uchtdorf,April 2014
"Church Auditing Department Report, 2013",sented by Kevin R. Jergensen,April 2014
"Statistical Report, 2013",sented by Brook P. Hales,April 2014
Let Your Faith Show,Elder Russell M. Nelson,April 2014
“I Have Given You an Example”,Elder Richard G. Scott,April 2014
"“If Ye Love Me, Keep My Commandments”",Elder Robert D. Hales,April 2014
Let’s Not Take the Wrong Way,Elder Claudio D. Zivic,April 2014
What Are You Thinking?,Elder W. Craig Zwick,April 2014
Roots and Branches,Elder Quentin L. Cook,April 2014
The Keys and Authority of the Priesthood,Elder Dallin H. Oaks,April 2014
What Manner of Men?,Elder Donald L. Hallstrom,April 2014
The Choice Generation,Randall L. Ridd,April 2014
Are You Sleeping through the Restoration?,President Dieter F. Uchtdorf,April 2014
The Priesthood Man,President Henry B. Eyring,April 2014
Be Strong and of a Good Courage,President Thomas S. Monson,April 2014
Grateful in Any Circumstances,President Dieter F. Uchtdorf,April 2014
Following Up,Elder M. Russell Ballard,April 2014
“Fear Not; I Am with Thee”,Jean A. Stevens,April 2014
Your Four Minutes,Bishop Gary E. Stevenson,April 2014
Bear Up Their Burdens with Ease,y Elder David A. Bednar,April 2014
Love—the Essence of the Gospel,President Thomas S. Monson,April 2014
The Witness,President Boyd K. Packer,April 2014
Live True to the Faith,Elder William R. Walker,April 2014
Obedience through Our Faithfulness,Elder L. Tom Perry,April 2014
The Prophet Joseph Smith,Elder Lawrence E. Corbridge,April 2014
Where Your Treasure Is,Elder Michael John U. Teh,April 2014
If Ye Lack Wisdom,Elder Marcos A. Aidukaitis,April 2014
The Resurrection of Jesus Christ,Elder D. Todd Christofferson,April 2014
Until We Meet Again,President Thomas S. Monson,April 2014
"Keeping Covenants Protects Us, Prepares Us, and Empowers Us",Rosemary M. Wixom,April 2014
"Sisterhood: Oh, How We Need Each Other",Bonnie L. Oscarson,April 2014
Wanted: Hands and Hearts to Hasten the Work,Linda K. Burton,April 2014
Daughters in the Covenant,President Henry B. Eyring,April 2014
Welcome to Conference,President Thomas S. Monson,October 2014
The Reason for Our Hope,President Boyd K. Packer,October 2014
Which Way Do You Face?,Elder Lynn G. Robbins,October 2014
The Sacrament—a Renewal for the Soul,Cheryl A. Esplin,October 2014
Rescue in Unity,Elder Chi Hong (Sam) Wong,October 2014
"Free Forever, to Act for Themselves",Elder D. Todd Christofferson,October 2014
Receiving a Testimony of Light and Truth,President Dieter F. Uchtdorf,October 2014
The Sustaining of Church Officers,sented by President Henry B. Eyring,October 2014
Loving Others and Living with Differences,Elder Dallin H. Oaks,October 2014
Joseph Smith,Elder Neil L. Andersen,October 2014
Parents: The Prime Gospel Teachers of Their Children,Tad R. Callister,October 2014
Approaching the Throne of God with Confidence,Elder Jörg Klebingat,October 2014
"Yes, Lord, I Will Follow Thee",Elder Eduardo Gavarret,October 2014
Are We Not All Beggars?,Elder Jeffrey R. Holland,October 2014
Finding Lasting Peace and Building Eternal Families,Elder L. Tom Perry,October 2014
Choose Wisely,Elder Quentin L. Cook,October 2014
I Know These Things of Myself,Elder Craig C. Christensen,October 2014
The Law of the Fast: A Personal Responsibility to Care for the Poor and Needy,Bishop Dean M. Davies,October 2014
"“Lord, Is It I?”",President Dieter F. Uchtdorf,October 2014
The Preparatory Priesthood,President Henry B. Eyring,October 2014
Guided Safely Home,President Thomas S. Monson,October 2014
Continuing Revelation,President Henry B. Eyring,October 2014
Sustaining the Prophets,Elder Russell M. Nelson,October 2014
Live according to the Words of the Prophets,Carol F. McConkie,October 2014
"Eternal Life—to Know Our Heavenly Father and His Son, Jesus Christ",Elder Robert D. Hales,October 2014
The Sacrament and the Atonement,Elder James J. Hamula,October 2014
Ponder the Path of Thy Feet,President Thomas S. Monson,October 2014
Stay in the Boat and Hold On!,Elder M. Russell Ballard,October 2014
Make the Exercise of Faith Your First Priority,Elder Richard G. Scott,October 2014
The Lord Has a Plan for Us!,Elder Carlos A. Godoy,October 2014
The Book,Elder Allan F. Packer,October 2014
Our Personal Ministries,Elder Hugo E. Martinez,October 2014
Trifle Not with Sacred Things,Elder Larry S. Kacher,October 2014
Come and See,Elder David A. Bednar,October 2014
Until We Meet Again,President Thomas S. Monson,October 2014
Prepared in a Manner That Never Had Been Known,Linda K. Burton,October 2014
Covenant Daughters of God,Jean A. Stevens,October 2014
Sharing Your Light,Neill F. Marriott,October 2014
Living the Gospel Joyful,y President Dieter F. Uchtdorf,October 2014
Filling Our Homes with Light and Truth,Cheryl A. Esplin,April 2015
The Family Is of God,Carole M. Stephens,April 2015
